Transaction Hash,Block Number,Timestamp,Gas Price (Gwei),Gas Used,Number of Inputs,Max Merkle Tree Depth,Chain,Timestamp_Rounded,timestamp,ETH Price (USD),Gas Price (ETH),Total Cost (ETH),Total Cost (USD)
0af66fb41239e2adf9c5950133671ae8632b80f2bbfc3a41f2274a1f60bde767,16187118,2024-09-21 05:30:07,0.129,622102,4,2,Polygon,2024-09-21,2024-09-21 05:20:34.441,2542.4615114222643,1.2900000000000002e-10,8.025115800000001e-05,0.20403548046206696
c6f91ea7be0a769c15b38d11746068279acf393ca8a2eebf52caa2e685ee2778,9740576,2024-09-21 06:00:03,0.059314618,822022,11,4,Linea,2024-09-21,2024-09-21 05:20:34.441,2542.4615114222643,5.9314618e-11,4.8757920917596e-05,0.12396513730995837
a8f080460dc985d93a0a2fd5102eb5eba1f798b00fb44ba37793d8263befddf0,16187713,2024-09-21 06:00:09,0.123,629113,4,2,Polygon,2024-09-21,2024-09-21 05:20:34.441,2542.4615114222643,1.2300000000000001e-10,7.738089900000001e-05,0.1967379574267536
2bd3b2a39a07cace9287cb24df3c5e0ce1828bb81f15981728ddae83a91fd0ae,9741477,2024-09-21 06:30:05,0.055212007,828977,11,4,Linea,2024-09-21,2024-09-21 05:20:34.441,2542.4615114222643,5.5212007000000004e-11,4.5769483926839005e-05,0.11636715128164812
b49895c5922362ab0992b9a3b43dd64672baf4e7c5c989a457ae4ea62e473d7d,16188309,2024-09-21 06:30:08,0.102,635951,4,2,Polygon,2024-09-21,2024-09-21 05:20:34.441,2542.4615114222643,1.02e-10,6.486700199999999e-05,0.16492185594635103
f71280c79fa014100be7a61d36c52c16dd615d83413e596445425d701cb558ca,9742377,2024-09-21 07:00:05,0.053632277,824942,11,4,Linea,2024-09-21,2024-09-21 06:30:51.305,2551.5352969068263,5.3632277e-11,4.4243517852934e-05,0.11288889746108842
643bf8dc1965c16d04d481d45915d9f9237e4e0bcc2e0be79e419e8dd62e2884,16188905,2024-09-21 07:00:08,0.128,636019,4,2,Polygon,2024-09-21,2024-09-21 06:30:51.305,2551.5352969068263,1.2800000000000002e-10,8.141043200000002e-05,0.20772159078443303
2a95f53ac520ea2871dbda001d4e8680b659f7f92b8022ee14d8e9eb5da525da,9743275,2024-09-21 07:30:03,0.05442282,838947,11,4,Linea,2024-09-21,2024-09-21 07:24:24.638,2552.708437977828,5.442282e-11,4.5657861570539996e-05,0.11655120849114105
d9f1327e802de9ba8a24bcf1b9c698a38cd38dbba5551646b762c8dca51c746a,16189502,2024-09-21 07:30:09,0.154,628997,4,2,Polygon,2024-09-21,2024-09-21 07:24:24.638,2552.708437977828,1.54e-10,9.686553800000001e-05,0.24726947620186196
935614be82399b3650990e33e5b7311596c5974ed810bb12503ee1538936a5e0,9744176,2024-09-21 08:00:05,0.054376267,822198,11,4,Linea,2024-09-21,2024-09-21 07:24:24.638,2552.708437977828,5.4376267e-11,4.4708057974866e-05,0.11412663683804238
52c3dc40e2026edb98b3e8cb303b2ca9a04f8652b21008c503a9071a8c8cc65a,16190098,2024-09-21 08:00:08,0.132,636135,4,2,Polygon,2024-09-21,2024-09-21 07:24:24.638,2552.708437977828,1.32e-10,8.396982000000001e-05,0.2143504680494794
a5febd97b7942fffadf166d3e9b61cef5ec79595c37d18a710fcb9a8ec26ba93,9745075,2024-09-21 08:30:03,0.054050347,843230,11,4,Linea,2024-09-21,2024-09-21 08:26:51.749,2552.6357626892636,5.4050347000000003e-11,4.557687410081e-05,0.11634115878131368
2104ecdd4481074ab34d815d980732d60dfdbceb3ad8cc3a816f78be3abd199e,16190692,2024-09-21 08:30:07,0.113,635963,4,2,Polygon,2024-09-21,2024-09-21 08:26:51.749,2552.6357626892636,1.1300000000000001e-10,7.1863819e-05,0.1834421544228282
bb4667f1a887be60b6d24fde17c91a728dd1f1c5b2ddc684ea0da394c7d51850,9745976,2024-09-21 09:00:05,0.054776066,836055,11,4,Linea,2024-09-21,2024-09-21 08:26:51.749,2552.6357626892636,5.4776066e-11,4.579580385963e-05,0.11690000671319456
9cefe519e7055b21dac5441bffdbdab42289e76fe09b64f9fddebe2c2d6cc547,16191288,2024-09-21 09:00:09,0.197,621942,4,2,Polygon,2024-09-21,2024-09-21 08:26:51.749,2552.6357626892636,1.9700000000000002e-10,0.000122522574,0.31275550412914177
568777862290ef0e414102eeefb84a2c03471243c4551b75f7ba29be66e21321,9746876,2024-09-21 09:30:05,0.055545007,838971,11,4,Linea,2024-09-21,2024-09-21 09:11:21.703,2549.2185335749696,5.5545007000000005e-11,4.6600650067797004e-05,0.11879524082946978
fe8db5a738fb44965e39059da0b0ab698edfcc485314b9b5314a5dd82a0d2d3f,16191885,2024-09-21 09:30:09,0.16,629077,4,2,Polygon,2024-09-21,2024-09-21 09:11:21.703,2549.2185335749696,1.6000000000000002e-10,0.00010065232,0.2565847595913186
7112ee2546d6b3d7013e5d7755e22aa4404dd6e6458c6a65c1179a92b9bf119a,9747776,2024-09-21 10:00:05,0.05622078,824874,11,4,Linea,2024-09-21,2024-09-21 09:11:21.703,2549.2185335749696,5.622078e-11,4.637505968172e-05,0.11822016163628594
bb73e42d57378909a7b117be5fb88ca27b3bccd67651905f0a7c2cc942647a1b,16192481,2024-09-21 10:00:09,0.185,643086,4,2,Polygon,2024-09-21,2024-09-21 09:11:21.703,2549.2185335749696,1.85e-10,0.00011897091,0.3032828487282797
a84ec2de70e81fbaa689873653bb9eeb64521bb7e52e94c92971d913ed9b94bf,9748675,2024-09-21 10:30:04,0.060773731,824754,11,4,Linea,2024-09-21,2024-09-21 10:04:06.336,2553.213237662063,6.0773731e-11,5.0123377737174e-05,0.1279756715548886
